"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010001","010001",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","Amended","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,2075729,,,0.124300003051758,,,387,141255,41704,13088,99315,,2425.3701171875,,8010,3240,19677,1204,,,,,,
"010005","010005",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,710727,,,0.12720000743866,,,204,74460,17640,6440,39191,,1181.69995117188,,3489,1493,8463,,,,,,,
"010006","010006",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO STREET                      ","818                                     ","FLORENCE                                ","AL                                      ","35630                                   ","LAUDERDALE                              ",,,,972982,,,0.0980999991297722,,,358,130670,27010,9868,61692,,960.630004882812,,5183,1916,12642,,,,,,,
"010007","010007",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,25570,,,0.0322999991476536,,,45,16425,2822,399,4241,,148.600006103516,,682,155,1123,,,,25,,252,
"010008","010008",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","CRENSHAW COMMUNITY HOSPITAL             ","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ","LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,14025,,,0.068000003695488,,,29,10585,728,94,1115,,92.8899993896484,,187,30,311,,,,162,,664,
"010011","010011",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","ST. VINCENTS EAST                       ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235-                                  ","JEFFERSON                               ",687843,,,743622,,,0.111400000751019,636013,205067,317,115705,20016,14049,92112,15.6599998474121,995.580017089844,,3035,2086,15146,,,,18,20,415,315
"010012","010012",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,183948,,,0.119999997317791,,,97,35405,4021,1813,11581,,347.690002441406,,996,802,3191,,,,13,,227,
"010016","010016",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,404551,,,0.0769999995827675,,,212,77380,12239,7563,47282,,684,,2653,1312,10536,,,,223,,1174,
"010018","010018",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",35797,,,,,,,19757,335700,12,4380,61,10,152,6.94999980926514,225.149993896484,,23,4,56,,,,,,,
"010019","010019",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,603109,,,0.152099996805191,,,178,64970,11306,6561,27269,,656.950012207031,,2701,2196,6864,,,,,,,
"010021","010021",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360-                                  ","DALE                                    ",,,,98235,,,0.119999997317791,,,77,28105,3258,2237,8517,,292.010009765625,,584,298,1398,,,,20,,182,
"010022","010022",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960-                                  ","CHEROKEE                                ",,,,11950,,,0.119999997317791,,,45,16425,561,564,3785,,100.139999389648,,81,141,684,9,,,,,,
"010023","010023",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",2616645,,,2063946,,,0.218799993395805,494942,507938,329,120085,23248,25052,85151,42.7000007629395,1818.01000976562,,4480,3841,18163,,,,,,2048,
"010024","010024",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-1109                              ","MONTGOMERY                              ",,,,919992,,,0.11370000243187,,,257,93805,22391,11851,73144,,1426.28002929688,,3978,2168,15434,,,,,,,
"010029","010029",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802-                                  ","LEE                                     ",,,,1605337,,,0.153400003910065,,,383,139795,28615,17736,77335,,2329.78002929688,,5124,3642,16897,,,,,,,234
"010032","010032",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ",,"WEDOWEE                                 ","AL                                      ","36278                                   ","RANDOLPH                                ",,,,10703,,,0.10530000180006,,,34,12410,369,62,945,,80.379997253418,,100,20,258,,,,,,,
"010033","010033",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",20331689,,,6544405,,,0.194700002670288,8084285,2983422,1058,386063,78233,82427,313586,529.369995117188,8850,,12035,12219,44875,,84,,543,250,2299,1257
"010034","010034",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","COMMUNITY HOSPITAL INC.                 ","805 FRIENDSHIP DRIVE                    ",,"TALLASSEE                               ","AL                                      ","36078                                   ","ELMORE                                  ",,,,59919,,,0.10980000346899,,,37,13505,3298,769,6017,,212.960006713867,,433,168,1028,,,,13,,185,
"010036","010036",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,234519,,,0.119999997317791,,,88,32120,5598,2392,11614,,243.429992675781,,1401,585,3107,,,,,,,
"010038","010038",5/1/2017,"01-MAY-17",9/30/2017,"30-SEP-17","As Submitted","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ","P.O. BOX                                ","ANNISTON                                ","AL                                      ","36207                                   ","CALHOUN                                 ",,,,46800,,,0.0665000006556511,,,125,19125,1984,351,3939,,224.889999389648,,471,110,1103,,,,,,,
"010039","010039",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801-                                  ","MADISON                                 ",4930420,,,3637709,,,0.10700000077486,1638444,729428,844,308060,84067,49378,247347,59.7400016784668,6683.47998046875,,15116,10049,49243,,,,221,,1551,
"010040","010040",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","Amended","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35903                                   ","ETOWAH                                  ",,,,1150895,,,0.128000006079674,,,225,82125,24847,11731,66921,,1057.17004394531,,4481,2166,13565,,,,7,,312,
"010044","010044",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","MARION REGIONAL MEDICAL CENTER          ","1256 MILITARY ST SOUTH                  ",,"HAMILTON                                ","AL                                      ","35570-                                  ","MARION                                  ",,,,1398,15378,,0.034400001168251,,,36,13140,3087,144,4363,,117.029998779297,,378,48,662,,,,,,,
"010045","010045",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","FAYETTE MEDICAL CENTER                  ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555-                                  ","FAYETTE                                 ",,,,48354,,,0.0957999974489212,,,42,15330,2997,296,4092,,171.100006103516,,384,90,700,,,,,,,
"010046","010046",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","RIVERVIEW REGIONAL MEDICAL CENTER       ","600 SOUTH 3RD STREET                    ",,"GADSDEN                                 ","AL                                      ","35901                                   ","ETOWAH                                  ",,,,423007,,,0.0793000012636185,,,256,93440,12362,3401,26838,,549.059997558594,,2956,919,7087,1,,,3,,225,
"010047","010047",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","GEORGIANA HOSPITAL                      ","515 MIRANDA STREET                      ",,"GEORGIANA                               ","AL                                      ","36033                                   ","BUTLER                                  ",,,,18906,,,0.0646999999880791,,,22,8030,939,160,1391,,35.7299995422363,,304,67,458,,,,,,,
"010049","010049",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","MEDICAL CENTER ENTERPRISE               ","400 NORTH EDWARDS STREET                ",,"ENTERPRISE                              ","AL                                      ","36330-                                  ","COFFEE                                  ",,,,170857,,,0.119999997317791,,,99,36135,2973,3216,9592,,328.149993896484,,981,933,3420,,,,,,,
"010051","010051",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","GREENE COUNTY HOSPITAL                  ","509 WILSON AVENUE                       ",,"EUTAW                                   ","AL                                      ","35462                                   ","GREENE                                  ",,,,10541,,,0.119999997317791,,,20,7300,247,98,654,,75.4300003051758,,77,33,164,,,,,,,
"010052","010052",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","LAKE MARTIN COMMUNITY HOSPITAL          ","1231 SOUTH STREET                       ",,"DADEVILLE                               ","AL                                      ","36853                                   ","TALLAPOOSA                              ",,,,40630,,,0.116599999368191,,,46,16790,941,216,1586,,68.5400009155273,,333,84,593,,,,,,,
