"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","gme_part_a","gme_part_b","beds","bed_days","medicare_days","days","employees","volunteers","medicare_disch","medicaid_disch","discharges"
"010001","010001",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled w/Audit","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301-                                  ","HOUSTON                                 ",,,,8622408,,,,,370,135050,49250,92136,2125.39990234375,,10185,3815,20125
"010005","010005",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","MARSHALL MEDICAL CENTER-SOUTH           ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957                                   ","MARSHALL                                ",,,,1741831,,,,,108,39420,13636,24527,567.640014648438,,2637,1306,6418
"010006","010006",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","ELIZA COFFEE MEMORIAL HOSPITAL          ",".05 MARENGO                             ","818                                     ","FLORENCE                                ","AL                                      ","35631-                                  ","LAUDERDALE                              ",,,,3752374,,,,,328,119720,39046,66444,939,,6785,1778,14037
"010007","010007",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462                                   ","COVINGTON                               ",,,,613038,,,,,90,32850,6004,9679,190.440002441406,,1293,435,2444
"010008","010008",1/1/2006,"01-JAN-06",12/31/2006,"31-DEC-06","Reopened","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049-                                  ","CRENSHAW                                ",,,,236658,,,,,29,10585,1867,3731,88.4800033569336,,456,245,1031
"010009","010009",2/1/2006,"01-FEB-06",1/31/2007,"31-JAN-07","Reopened","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640                                   ","MORGAN                                  ",,,,390415,,,,,130,47450,3845,5150,140.399993896484,,952,145,1380
"010010","010010",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled w/Audit","MARSHALL MEDICAL CENTER  - NORTH        ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976                                   ","MARSHALL                                ",,,,833787,,,,,90,32850,9560,16231,395.519989013672,,1938,657,3823
"010011","010011",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","MEDICAL CENTER EAST                     ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235                                   ","JEFFERSON                               ",,1440732,,1321710,,,1104240,199316,272,99280,27799,71326,1140.10998535156,,4792,1365,12503
"010012","010012",4/1/2006,"01-APR-06",3/31/2007,"31-MAR-07","Reopened","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,1127129,,,,,91,33215,6502,15474,340.25,,1885,602,5276
"010015","010015",4/1/2006,"01-APR-06",3/31/2007,"31-MAR-07","Reopened","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784                                   ","CLARKE                                  ",,,,301448,,,,,27,9855,2768,4884,90.6999969482422,,627,174,1222
"010016","010016",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ","488                                     ","ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,2220982,,,,,174,63510,17732,45242,754.330017089844,,3732,1633,10185
"010018","010018",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",,173801,,42453,,,26209,243244,20,7300,311,835,143.380004882812,,101,48,310
"010019","010019",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660                                   ","COLBERT                                 ",,,,2085948,,,,,185,67525,13807,27321,498.179992675781,,2877,1678,7096
"010021","010021",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360                                   ","DALE                                    ",,,,514760,,,,,79,28835,3744,7658,265.25,,946,620,2490
"010022","010022",4/1/2006,"01-APR-06",3/31/2007,"31-MAR-07","Reopened","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960                                   ","CHEROKEE                                ",,,,102245,114577,,,,45,16425,4012,5343,103.529998779297,,840,157,1348
"010023","010023",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",,2317817,,11159684,,,667729,143880,366,133590,27022,87080,1648.77001953125,,5790,4008,19517
"010024","010024",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-                                  ","MONTGOMERY                              ",,,,5379487,,,,,255,93075,28170,65385,1254,,5700,1993,14507
"010025","010025",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","GEORGE H. LANIER MEMORIAL HOSPITAL      ","4800 48TH STREET                        ",,"VALLEY                                  ","AL                                      ","36854                                   ","CHAMBERS                                ",,,,1204911,,,,,101,36865,9933,16385,318.670013427734,,1792,666,3634
"010027","010027",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Settled","ELBA GENERAL HOSPITAL                   ","987 DRAYTON STREET                      ",,"ELBA                                    ","AL                                      ","35323                                   ","COFFEE                                  ",,,,207393,,,,,20,7300,1449,2609,112.26000213623,,588,133,1190
"010029","010029",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802                                   ","LEE                                     ",,,,5514102,,,,,256,93440,36528,72873,2050,,6760,2148,16146
"010032","010032",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ","307                                     ","WEDOWEE                                 ","AL                                      ","36278-                                  ","RANDOLPH                                ",,,,84006,,,,,34,12410,2479,3495,85.4400024414062,,536,88,995
"010033","010033",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",,17589965,,21345821,,,7270912,748402,964,351860,65573,243640,5872,,11047,6276,39579
"010034","010034",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","COMMUNITY HOSPITAL  INC.                ","805 FRIENDSHIP DRIVE                    ","780700                                  ","TALLASSEE                               ","AL                                      ","36078-0707                              ","ELMORE                                  ",,,,323393,,,,,59,21535,4619,7741,204.889999389648,,960,248,1972
"010035","010035",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","CULLMAN REGIONAL MEDICAL CENTER         ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056                                   ","CULMAN                                  ",,,,2152195,,,,,115,41975,15132,31382,815.070007324219,,3341,1684,8049
"010036","010036",4/1/2006,"01-APR-06",3/31/2007,"31-MAR-07","Reopened","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420-                                  ","COVINGTON                               ",,,,687495,761108,,,,88,32120,8901,15572,230.100006103516,,2224,965,4942
"010038","010038",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ","P.O. BOX                                ","ANNISTON                                ","AL                                      ","36207                                   ","CALHOUN                                 ",,,,615058,,,,,125,45625,10435,17718,321.670013427734,,2340,440,4547
"010039","010039",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Settled w/Audit","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801                                   ","MADISON                                 ",,2715492,,9818163,,,897957,186418,786,286890,94078,221491,4397.64013671875,,16626,5748,43538
"010040","010040",1/1/2006,"01-JAN-06",12/31/2006,"31-DEC-06","Reopened","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35999-                                  ","ETOWAH                                  ",,,,4339325,,,,,235,85775,35968,68241,888.789978027344,,5152,1751,11118
"010043","010043",7/1/2006,"01-JUL-06",6/30/2007,"30-JUN-07","Reopened","CHILTON MEDICAL CENTER                  ","1010 LAY DAM ROAD                       ",,"CLANTON                                 ","AL                                      ","35045                                   ","CHILTON                                 ",,,,85386,,,,,60,21900,923,1599,98.6500015258789,,282,120,573
"010044","010044",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Reopened","MARION REGIONAL MEDICAL CENTER          ","1256 MILITARY ST SOUTH                  ",,"HAMILTON                                ","AL                                      ","35570-                                  ","MARION                                  ",,,,82557,,,,,36,13140,2548,4130,139.100006103516,,550,93,939
"010045","010045",10/1/2005,"01-OCT-05",9/30/2006,"30-SEP-06","Settled","FAYETTE MEDICAL CENTER DCH              ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555                                   ","FAYETTE                                 ",,,,350613,,,,,42,15330,4466,6543,354.809997558594,,904,139,1471
"010046","010046",7/1/2006,"01-JUL-06",1/22/2007,"22-JAN-07","Reopened","RIVERVIEW REG L MEDICAL CENTER          ","600 SOUTH THIRD STREET                  ",,"GADSDEN                                 ","AL                                      ","35901                                   ","ETOWAH                                  ",,,,727631,,,,,281,57886,16093,23446,442.390014648438,,2528,243,4004
