id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
10001,0.0,8633626.0,0.149800002574921,408.0,149328.0,42785.0,15986.0,87760.0,2160.60009765625,7790.0,3931.0,17435.0,0,1,756,704
10005,0.0,2891397.0,0.125300005078316,204.0,74664.0,17787.0,6381.0,36415.0,1056.02001953125,3797.0,1291.0,9168.0,2,1,290,939
10006,0.0,3498027.0,0.095100000500679,358.0,130670.0,28599.0,7909.0,52665.0,968.530029296875,5039.0,1765.0,10862.0,2,1,941,855
10007,0.0,185865.0,0.0533000007271767,78.0,28548.0,4122.0,619.0,5867.0,153.449996948242,819.0,133.0,1302.0,3,1,2072,376
10008,0.0,287870.0,0.171299993991852,29.0,10614.0,1764.0,668.0,3240.0,106.699996948242,374.0,166.0,744.0,0,1,1639,387
10009,0.0,175131.0,,130.0,47450.0,2148.0,293.0,3153.0,108.370002746582,572.0,104.0,967.0,5,55,3172,1739
10010,0.0,1112826.0,,90.0,32850.0,10194.0,2185.0,18949.0,477.600006103516,2278.0,482.0,4712.0,5,55,3172,1739
10011,0.0,2023583.0,0.0612000003457069,279.0,101835.0,23284.0,10013.0,75795.0,1101.23999023438,4117.0,1683.0,14380.0,0,1,259,755
10012,0.0,928833.0,0.119999997317791,97.0,35405.0,5771.0,2818.0,13469.0,371.5,1416.0,844.0,3758.0,3,1,969,429
10015,0.0,9767.0,,27.0,3699.0,295.0,,592.0,75.0299987792969,92.0,30.0,204.0,5,55,3172,1739
10016,0.0,2216102.0,0.0882000029087067,193.0,70572.0,17256.0,8645.0,52461.0,822.969970703125,3364.0,2094.0,10594.0,3,1,22,1404
10018,0.0,,,12.0,4392.0,73.0,16.0,117.0,146.0,23.0,3.0,85.0,1,1,259,755
10019,0.0,2402331.0,0.138099998235703,185.0,67710.0,14171.0,6819.0,29534.0,591.669982910156,2950.0,1530.0,7044.0,3,1,2568,339
10021,0.0,477348.0,0.119999997317791,77.0,28182.0,3536.0,1624.0,7810.0,270.019989013672,760.0,376.0,1973.0,3,1,2108,404
10022,0.0,198467.0,0.110799998044968,45.0,16425.0,2735.0,383.0,3830.0,107.620002746582,386.0,114.0,759.0,3,1,470,284
10023,0.0,11055136.0,0.259099990129471,363.0,132495.0,24504.0,27050.0,83797.0,1963.59997558594,5124.0,3837.0,16789.0,3,1,1845,1017
10024,0.0,4447886.0,0.124399997293949,255.0,93330.0,26523.0,10905.0,63984.0,1223.7900390625,4926.0,2890.0,14474.0,3,1,1845,1017
10025,0.0,1276420.0,0.183200001716614,84.0,30660.0,8038.0,3096.0,15163.0,336.820007324219,1106.0,511.0,2718.0,3,1,2900,267
10027,0.0,12764.0,0.120399996638298,20.0,4380.0,99.0,16.0,164.0,89.4000015258789,28.0,7.0,46.0,1,1,829,337
10029,0.0,5189715.0,0.121200002729893,258.0,94428.0,28498.0,12099.0,62347.0,1905.2900390625,5266.0,2243.0,15507.0,3,1,2070,866
10032,0.0,175605.0,0.119999997317791,34.0,12444.0,1367.0,343.0,2365.0,79.4499969482422,383.0,99.0,723.0,3,1,3007,1258
10033,0.0,25413478.0,0.222000002861023,997.0,364902.0,69343.0,80308.0,276544.0,7053.0,12027.0,9832.0,42199.0,1,1,259,755
10034,0.0,277447.0,0.0698999986052513,37.0,13505.0,3329.0,689.0,6326.0,231.940002441406,701.0,175.0,1532.0,1,1,2772,504
10035,0.0,2121890.0,0.108499996364117,115.0,41975.0,12246.0,3131.0,21304.0,783.280029296875,2992.0,1541.0,6568.0,3,1,662,395
10036,0.0,1354337.0,0.188199996948242,88.0,32120.0,5499.0,2483.0,10410.0,241.720001220703,1383.0,670.0,2999.0,3,1,74,376
10038,0.0,934736.0,0.0948000028729439,125.0,45625.0,7449.0,1580.0,13620.0,280.339996337891,1707.0,489.0,3559.0,2,1,83,224
10039,0.0,14818807.0,0.111400000751019,839.0,306235.0,83320.0,41917.0,212477.0,5223.85986328125,14637.0,7361.0,44166.0,2,1,1314,917
10040,0.0,4759657.0,0.129199996590614,267.0,97356.0,29728.0,12346.0,65773.0,968.219970703125,4875.0,2299.0,12397.0,3,1,1016,513
10043,0.0,58213.0,,27.0,9882.0,1189.0,129.0,2541.0,121.139999389648,214.0,41.0,538.0,5,55,3172,1739
10044,0.0,106706.0,0.0571999996900558,36.0,13176.0,1569.0,184.0,2656.0,137.529998779297,436.0,83.0,831.0,2,1,1165,934
10045,0.0,343462.0,0.0851999968290329,42.0,15372.0,5106.0,499.0,6663.0,301.25,836.0,,1289.0,3,1,921,528
10046,0.0,1295479.0,0.0566999986767769,256.0,93440.0,19311.0,2879.0,33054.0,491.25,3035.0,509.0,5649.0,2,1,1016,513
10047,0.0,187581.0,0.120899997651577,22.0,7370.0,1435.0,363.0,2428.0,57.4599990844727,422.0,125.0,793.0,3,1,1049,209
10049,0.0,839782.0,0.119999997317791,131.0,47946.0,5073.0,3261.0,13270.0,359.440002441406,1449.0,989.0,4042.0,2,1,870,337
10050,0.0,102368.0,0.0504000000655651,40.0,14600.0,1847.0,351.0,4128.0,121.01000213623,410.0,110.0,1085.0,3,1,2066,148
10051,0.0,105654.0,0.119999997317791,24.0,8760.0,824.0,298.0,1359.0,81.3099975585938,220.0,107.0,423.0,3,1,889,613
10052,0.0,152634.0,0.0741999968886375,46.0,16836.0,1511.0,222.0,2543.0,72.6800003051758,516.0,65.0,957.0,3,1,676,1518
10054,0.0,1105116.0,0.156700000166893,120.0,43920.0,4980.0,2295.0,10886.0,287.019989013672,1228.0,593.0,2936.0,3,1,701,1023
10055,0.0,2296837.0,0.0627000033855438,234.0,85357.0,27788.0,7545.0,57436.0,1210.0,4852.0,1371.0,11638.0,3,1,756,704
10056,0.0,,,442.0,161330.0,36174.0,6092.0,108578.0,1803.08996582031,6256.0,835.0,20369.0,3,1,259,755
10058,0.0,,,25.0,9125.0,1922.0,39.0,2973.0,105.120002746582,144.0,10.0,252.0,0,1,472,135
10059,0.0,276515.0,0.0803000032901764,37.0,13542.0,3995.0,420.0,5481.0,149.630004882812,666.0,106.0,1145.0,3,1,1868,860
10061,0.0,904254.0,0.119999997317791,170.0,62220.0,7136.0,3095.0,13374.0,387.700012207031,1622.0,1159.0,3856.0,3,1,2530,749
10062,0.0,177625.0,0.0588000006973743,73.0,26718.0,3150.0,418.0,5730.0,223.940002441406,630.0,125.0,1178.0,3,1,1046,574
10064,0.0,1052131.0,,185.0,56240.0,9966.0,,23479.0,749.0,1732.0,306.0,3805.0,5,55,3172,1739
10065,0.0,1780584.0,0.166600003838539,75.0,27375.0,5514.0,3045.0,11538.0,461.179992675781,1586.0,737.0,3246.0,1,1,35,1518
